Source,Target,BDeu,TSource,TTarget
AT1G29160,AT1G12890,-9.88751059812842,AT1G29160,AT1G12890
AT4G25470,AT5G38700,-9.88751059812843,AT4G25470,AT5G38700
AT1G29160,AT1G07640,-9.88751059812843,AT1G29160,AT1G07640
AT1G01380,AT1G13448,-9.88751059812843,AT1G01380,AT1G13448
AT1G72360,AT1G27740,-9.88751059812843,AT1G72360,RSL4
AT1G29160,AT1G66180,-9.88751059812843,AT1G29160,AT1G66180
AT1G52830,AT2G29470,-9.88751059812843,AT1G52830,AT2G29470
AT1G01380,AT2G35150,-9.88751059812843,AT1G01380,AT2G35150
AT1G52830,AT2G41280,-9.88751059812843,AT1G52830,AT2G41280
AT1G72360,AT2G41850,-9.88751059812843,AT1G72360,AT2G41850
AT2G22770,AT3G10110,-9.88751059812843,AT2G22770,AT3G10110
AT1G01380,AT3G55720,-9.88751059812843,AT1G01380,AT3G55720
AT1G72360,AT5G06250,-9.88751059812843,AT1G72360,AT5G06250
AT2G37740,AT3G50340,-9.88751059812843,AT2G37740,AT3G50340
AT1G01380,AT1G73830,-29.6625317941544,AT1G01380,AT1G73830
AT2G37740,AT1G73830,-29.6625317941544,AT2G37740,AT1G73830
AT1G49130,AT2G41050,-29.6625317941544,AT1G49130,AT2G41050
AT2G22430,AT2G41050,-29.6625317941544,AT2G22430,AT2G41050
AT1G01380,AT3G56170,-29.6625317941544,AT1G01380,CAN
AT1G29160,AT3G56170,-29.6625317941544,AT1G29160,CAN
AT3G02940,AT5G26620,-29.6625317941544,AT3G02940,AT5G26620
AT3G60630,AT5G26620,-29.6625317941544,AT3G60630,AT5G26620
AT1G49130,AT2G28870,-29.6625317941544,AT1G49130,AT2G28870
AT2G22430,AT2G28870,-29.6625317941544,AT2G22430,AT2G28870
AT1G72360,AT5G51670,-29.6625317941544,AT1G72360,AT5G51670
AT2G22770,AT5G51670,-29.6625317941544,AT2G22770,AT5G51670
AT1G52830,AT1G69230,-29.6625317941544,AT1G52830,AT1G69230
AT2G22770,AT1G69230,-29.6625317941544,AT2G22770,AT1G69230
AT1G52830,AT3G59250,-29.6625317941544,AT1G52830,AT3G59250
AT2G22770,AT3G59250,-29.6625317941544,AT2G22770,AT3G59250
AT2G22430,AT4G23510,-29.6625317941544,AT2G22430,AT4G23510
AT2G22770,AT4G23510,-29.6625317941544,AT2G22770,AT4G23510
AT2G22770,AT1G21140,-36.6510311463546,AT2G22770,AT1G21140
AT2G22770,AT1G23100,-36.6510311463546,AT2G22770,AT1G23100
AT2G22770,AT3G63160,-36.6510311463546,AT2G22770,AT3G63160
AT2G22770,AT5G57710,-36.6510311463546,AT2G22770,AT5G57710
AT1G01380,AT1G22065,-36.7200240178414,AT1G01380,AT1G22065
AT2G37740,AT1G01580,-36.7845625389789,AT2G37740,FRO2
AT2G37740,AT1G01600,-36.7845625389789,AT2G37740,AT1G01600
AT2G37740,AT1G01640,-36.7845625389789,AT2G37740,AT1G01640
AT2G37740,AT1G01725,-36.7845625389789,AT2G37740,AT1G01725
AT2G37740,AT1G01770,-36.7845625389789,AT2G37740,AT1G01770
AT2G37740,AT1G02050,-36.7845625389789,AT2G37740,AT1G02050
AT2G37740,AT1G02205,-36.7845625389789,AT2G37740,AT1G02205
AT2G37740,AT1G03090,-36.7845625389789,AT2G37740,AT1G03090
AT2G37740,AT1G03630,-36.7845625389789,AT2G37740,AT1G03630
AT2G37740,AT1G03970,-36.7845625389789,AT2G37740,AT1G03970
AT2G37740,AT1G05450,-36.7845625389789,AT2G37740,AT1G05450
AT2G37740,AT1G06030,-36.7845625389789,AT2G37740,AT1G06030
AT2G37740,AT1G06570,-36.7845625389789,AT2G37740,AT1G06570
AT2G37740,AT1G06923,-36.7845625389789,AT2G37740,AT1G06923
AT2G37740,AT1G07000,-36.7845625389789,AT2G37740,EXO70B2
AT2G37740,AT1G07040,-36.7845625389789,AT2G37740,AT1G07040
AT2G37740,AT1G07230,-36.7845625389789,AT2G37740,AT1G07230
