Source,Target,BDeu,TSource,TTarget
AT3G10040,AT3G29030,-9.8875103,AT3G10040,AT3G29030
AT3G15210,AT2G18950,-83.50988007,AT3G15210,AT2G18950
AT5G23280,AT2G18950,-83.50988007,AT5G23280,AT2G18950
AT3G10040,AT5G03280,-89.4262619,AT3G10040,AT5G03280
AT3G15210,AT5G03280,-89.4262619,AT3G15210,AT5G03280
AT3G10040,AT2G03090,-91.77763367,AT3G10040,EXPA15
AT3G15210,AT2G03090,-91.77763367,AT3G15210,EXPA15
AT3G10040,AT4G19970,-91.77763367,AT3G10040,AT4G19970
AT3G15210,AT4G19970,-91.77763367,AT3G15210,AT4G19970
AT3G15210,AT2G43870,-111.1220322,AT3G15210,AT2G43870
AT3G15210,AT1G77130,-126.3440857,AT3G15210,PGSIP2
AT5G23280,AT1G77130,-126.3440857,AT5G23280,PGSIP2
AT5G23280,AT3G02210,-130.0267639,AT5G23280,COBL1
AT3G10040,AT4G39350,-157.7939606,AT3G10040,CESA2
AT3G15210,AT4G39350,-157.7939606,AT3G15210,CESA2
AT5G23280,AT1G24170,-159.8037109,AT5G23280,LGT9
AT3G06740,AT3G62060,-9.8875103,AT3G06740,AT3G62060
AT3G06740,AT2G40610,-40.84715652,AT3G06740,AT2G40610
AT1G36060,AT3G45960,-49.52074051,AT1G36060,AT3G45960
AT1G36060,AT4G38400,-49.52074051,AT1G36060,AT4G38400
AT1G74840,AT3G22800,-49.52074051,AT1G74840,AT3G22800
AT2G46970,AT3G16850,-56.49504471,AT2G46970,AT3G16850
AT3G23240,AT3G16850,-56.49504471,AT3G23240,AT3G16850
AT1G36060,AT5G49360,-56.83151627,AT1G36060,BXL1
AT5G47230,AT5G49360,-56.83151627,AT5G47230,BXL1
AT5G47230,AT1G05660,-63.18065643,AT5G47230,AT1G05660
AT5G47640,AT1G05660,-63.18065643,AT5G47640,AT1G05660
AT5G47230,AT1G12040,-63.18065643,AT5G47230,LRX1
AT5G47640,AT1G12040,-63.18065643,AT5G47640,LRX1
AT5G47230,AT1G13250,-63.18065643,AT5G47230,AT1G13250
AT5G47640,AT1G13250,-63.18065643,AT5G47640,AT1G13250
AT5G47230,AT2G26440,-63.18065643,AT5G47230,AT2G26440
AT5G47640,AT2G26440,-63.18065643,AT5G47640,AT2G26440
AT5G47230,AT3G28340,-63.18065643,AT5G47230,AT3G28340
AT5G47640,AT3G28340,-63.18065643,AT5G47640,AT3G28340
AT5G47230,AT3G48580,-63.18065643,AT5G47230,AT3G48580
AT5G47640,AT3G48580,-63.18065643,AT5G47640,AT3G48580
AT5G47230,AT4G00730,-63.18065643,AT5G47230,AT4G00730
AT5G47640,AT4G00730,-63.18065643,AT5G47640,AT4G00730
AT5G47230,AT4G01630,-63.18065643,AT5G47230,EXPA17
AT5G47640,AT4G01630,-63.18065643,AT5G47640,EXPA17
AT5G47230,AT4G08400,-63.18065643,AT5G47230,AT4G08400
AT5G47640,AT4G08400,-63.18065643,AT5G47640,AT4G08400
AT5G47230,AT4G28850,-63.18065643,AT5G47230,XTH26
AT5G47640,AT4G28850,-63.18065643,AT5G47640,XTH26
AT5G47230,AT5G23190,-63.18065643,AT5G47230,AT5G23190
AT5G47640,AT5G23190,-63.18065643,AT5G47640,AT5G23190
AT2G46970,AT4G02130,-64.87710571,AT2G46970,AT4G02130
AT4G28110,AT4G02130,-64.87710571,AT4G28110,AT4G02130
AT5G47230,AT4G39950,-83.01255035,AT5G47230,CYP79B2
AT1G36060,AT1G02800,-86.50561523,AT1G36060,AT1G02800
AT5G41570,AT1G02800,-86.50561523,AT5G41570,AT1G02800
AT1G52890,AT3G43270,-90.36844635,AT1G52890,AT3G43270
AT5G41570,AT3G43270,-90.36844635,AT5G41570,AT3G43270
AT3G10040,AT4G13840,-92.23856354,AT3G10040,AT4G13840
AT5G41570,AT4G13840,-92.23856354,AT5G41570,AT4G13840
AT4G28110,AT2G28950,-98.42233276,AT4G28110,EXPA6
AT5G39610,AT2G28950,-98.42233276,AT5G39610,EXPA6
AT1G36060,AT5G57530,-111.2740936,AT1G36060,XTH12
AT1G36060,AT2G27370,-9.8875103,AT1G36060,AT2G27370
AT1G36060,AT5G06200,-9.8875103,AT1G36060,AT5G06200
AT2G47890,AT5G15290,-9.8875103,AT2G47890,AT5G15290
AT4G09460,AT1G02460,-9.8875103,AT4G09460,AT1G02460
AT5G57520,AT1G23720,-9.8875103,AT5G57520,AT1G23720
AT5G57520,AT5G57540,-9.8875103,AT5G57520,XTH13
AT1G74840,AT1G53830,-29.6625309,AT1G74840,PME2
AT3G02550,AT1G53830,-29.6625309,AT3G02550,PME2
AT5G57520,AT1G12560,-36.31455994,AT5G57520,EXPA7
AT5G57520,AT1G30870,-36.31455994,AT5G57520,AT1G30870
AT5G57520,AT1G62440,-36.31455994,AT5G57520,LRX2
AT5G57520,AT3G54590,-36.31455994,AT5G57520,AT3G54590
