Network12	Network123	Network1234	Network12345	Network56
AT3G10040	AT1G25560	AT1G25560	AT1G06180	AT1G01380
AT3G15210	AT1G42990	AT1G28370	AT1G17310	AT1G29160
AT5G23280	AT1G68840	AT1G36060	AT1G25560	AT1G49130
	AT2G28550	AT1G42990	AT1G28370	AT1G52830
	AT2G46970	AT1G52890	AT1G36060	AT1G72360
	AT3G10040	AT1G64380	AT1G42990	AT2G22430
	AT3G15210	AT1G67100	AT1G49475	AT2G22770
	AT3G50330	AT1G74840	AT1G52890	AT2G25820
	AT4G16750	AT2G28550	AT1G67100	AT2G37740
	AT5G13910	AT2G46970	AT1G68840	AT3G02940
	AT5G23280	AT3G06740	AT1G71030	AT3G60630
	AT5G60850	AT3G10040	AT1G74840	AT4G25470
		AT3G15210	AT1G79840	AT5G12870
		AT3G19580	AT2G28550	
		AT3G23240	AT2G45160	
		AT3G25730	AT2G46970	
		AT3G49930	AT2G46990	
		AT3G50330	AT2G47890	
		AT3G58190	AT3G02550	
		AT3G60390	AT3G10040	
		AT4G11140	AT3G15030	
		AT4G16750	AT3G15210	
		AT4G28110	AT3G23240	
		AT5G06710	AT3G25730	
		AT5G13910	AT3G49930	
		AT5G23280	AT3G50330	
		AT5G39610	AT3G56400	
		AT5G41570	AT3G58190	
		AT5G43170	AT3G58710	
		AT5G44260	AT3G60390	
		AT5G47220	AT4G09460	
		AT5G47230	AT4G14550	
		AT5G47640	AT4G16750	
		AT5G53980	AT5G13910	
		AT5G60850	AT5G17810	
		AT5G67060	AT5G23280	
			AT5G39610	
			AT5G41570	
			AT5G43170	
			AT5G47220	
			AT5G47230	
			AT5G53980	
			AT5G57520	
			AT5G60850	
			AT5G64750	
			AT5G67060	
